mzid,fingerprint_full,is_stable,uuid,uuid_from,uuid_type,mz_campaign_id,mz_spot_id,mz_keyword_id,mz_minisite_id,event_id,timestamp,trigger_timestamp,raw_ip,media_ip,ip,ip_from,ip_type,region_id,region_small,raw_user_agent,user_agent,platform,mobile_env_type,network_type,device_model,toutiao_lbs,os_type,media_request_id,viewable_type,log_type,log_id,log_index,mobile_platform,region_district,tencent_client,transparency_level,bdid,track_schema,ip_property_type,os_version_final,verify_uid,track_os_type,idfa_permissions,is_homologous,signature_verification,dt
rG8yw0BBJ47C,88643332,true,10d1a507d0b97aef9fda00ebb967846a831b0a7e2a5a50103eed453cb4434f6e,bdid,bdid,2512626,134795390,-1,-1,-1,08:25:07,-1,111.55.211.209,111.55.211.209,111.55.211.209,rawIp,IP_RAW_IP,124,124,"Mozilla/5.0 (Linux; Android 9; vivo X21i A Build/P00610; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.55 Mobile Safari/537.36",A_CR13__m,1,0,0,vivo X21i A,0.0x0.0x100.0,A,20260922082416C39FDF31849534EC1961,0,imp,nJo8xAmEmJ5D,202609220825.cnTbj3-admtvm-imp17.a.log.0.lz4_1345752,0,1156440100,-1,8,10d1a507d0b97aef9fda00ebb967846a831b0a7e2a5a50103eed453cb4434f6e,1,4,9,10d1a507d0b97aef9fda00ebb967846a831b0a7e2a5a50103eed453cb4434f6e,-1,-1,0,5,20260922
KnUPw0IFXgxI,db5d2d32,true,88e6ccde92b5c95db1fb8c26641762abd187c236a2e09430bc984f77789bae45,bdid,bdid,2512626,134795390,-1,-1,-1,08:24:07,-1,2409:895a:4e48:5800:18d7:79a0:331a:93ef,2409:895a:4e48:5800:18d7:79a0:331a:93ef,2409:895a:4e48:5800:18d7:79a0:331a:93ef,ls,GEO,124,124,"Mozilla/5.0 (Linux; Android 15; 24129RT7CC Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/131.0.6778.260 Mobile Safari/537.36",A_CR13__m,1,0,0,24129RT7CC,23.3x113.1x100.0,A,202609220823005D16AEAAB4829FE2E65E,0,imp,pIo8xA9xerBJ,202609220824.cnTbj3-admtvmipv6-imp35.a.log.0.lz4_2989022,0,1156440114,-1,8,88e6ccde92b5c95db1fb8c26641762abd187c236a2e09430bc984f77789bae45,1,6,15,88e6ccde92b5c95db1fb8c26641762abd187c236a2e09430bc984f77789bae45,-1,-1,0,5,20260922
MeIhw0mRKChI,b0d52f89,true,bde5b1270904e336c2b92e11527a99c36923661dd8b914f4781d3ea3f85e836f,bdid,bdid,2512626,134795390,-1,-1,-1,08:25:19,-1,2409:8a55:1453:5ef0:bf61:274:53d7:b615,2409:8a55:1453:5ef0:bf61:274:53d7:b615,2409:8a55:1453:5ef0:bf61:274:53d7:b615,ls,GEO,124,124,"Mozilla/5.0 (Linux; Android 16; VKJ-AN90 Build/HONORVKJ-AN90; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.24 Mobile Safari/537.36",A_CR14__m,1,0,0,VKJ-AN90,23.1x113.6x100.0,A,20260922082509E1FCEEB500773A803D1D,0,imp,zJo8xAHmSs1J,202609220825.cnTbj3-admtvmipv6-imp25.a.log.1.lz4_1296963,0,1156440118,-1,8,bde5b1270904e336c2b92e11527a99c36923661dd8b914f4781d3ea3f85e836f,1,6,16,bde5b1270904e336c2b92e11527a99c36923661dd8b914f4781d3ea3f85e836f,-1,-1,0,5,20260922
ugNuw0Pl14AD,d3bec841,true,2217a802057ef0286d1d6cf92a391f7ad79deec52518f1dd84eb5560b0a4963b,bdid,bdid,2512626,134795390,-1,-1,-1,08:24:50,-1,120.239.80.14,120.239.80.14,120.239.80.14,ls,GEO,124,124,"Mozilla/5.0 (Linux; Android 12; ANA-AN00 Build/HUAWEIANA-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.5735.196 Mobile Safari/537.36",A_CR11__m,1,0,0,ANA-AN00,23.3x113.3x100.0,A,20260922082446C22457C9C8C162B8DE22,0,imp,WJo8xAtUPP2D,202609220824.cnTbj3-admtvm-imp14.a.log.1.lz4_3311238,0,1156440111,-1,8,2217a802057ef0286d1d6cf92a391f7ad79deec52518f1dd84eb5560b0a4963b,1,4,12,2217a802057ef0286d1d6cf92a391f7ad79deec52518f1dd84eb5560b0a4963b,-1,-1,0,5,20260922
fr12v0tCRiID,c13595de,true,96f674272f75d3976595c8d88e15ad34b5d236b15d60c3bdd61c6f3daebd3d1d,bdid,bdid,2512626,134795390,-1,-1,-1,08:25:09,-1,223.104.82.179,2409:8d5a:a00:8c2:17c3:8c6a:8d31:cf63,223.104.82.179,ls,GEO,124,124,"Mozilla/5.0 (Linux; Android 16; 2410DPN6CC Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/143.0.7499.192 Mobile Safari/537.36",A_CR14__m,1,0,0,2410DPN6CC,23.1x113.4x100.0,A,202609220824507BFA781FDC02028229A8,0,imp,pJo8xAT97GQC,202609220825.cnTbj3-admtvm-terran20.a.log.0.lz4_1826821,0,1156440105,-1,8,96f674272f75d3976595c8d88e15ad34b5d236b15d60c3bdd61c6f3daebd3d1d,1,4,16,96f674272f75d3976595c8d88e15ad34b5d236b15d60c3bdd61c6f3daebd3d1d,-1,-1,0,5,20260922
a1M8x0ctFJ6C,52228703,true,54612e12815d70c1aac181c9f7e2b83e630bf985fcb7f29d10461c3032ce5091,bdid,bdid,2512626,134795390,-1,-1,-1,08:25:23,-1,59.42.2.52,59.42.2.52,59.42.2.52,ls,GEO,124,124,"Mozilla/5.0 (Linux; Android 16; 25098RA98C Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/143.0.7499.192 Mobile Safari/537.36",A_CR14__m,1,0,0,25098RA98C,23.3x113.3x100.0,A,2026092208251778D36C99E567D6B40012,0,imp,3Ko8xAAmWLPC,202609220825.cnTbj3-admtvm-terran19.a.log.0.lz4_4777235,0,1156440111,-1,8,54612e12815d70c1aac181c9f7e2b83e630bf985fcb7f29d10461c3032ce5091,1,4,16,54612e12815d70c1aac181c9f7e2b83e630bf985fcb7f29d10461c3032ce5091,-1,-1,0,5,20260922
s6lov0w8trMC,7c0b450a,true,7277635170112326f455cfbffdbb4e5c2b55078300b0adf6cb9dc82f0226ab94,bdid,bdid,2512626,134795390,-1,-1,-1,08:25:26,-1,2408:8459:e60:3dc4:50fa:87ff:fe76:3bd2,2408:8459:e60:3dc4:50fa:87ff:fe76:3bd2,2408:8459:e60:3dc4:50fa:87ff:fe76:3bd2,ls,GEO,124,124,"Mozilla/5.0 (Linux; Android 17; 25098PN5AC Build/CP2A.260605.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/149.0.7827.91 Mobile Safari/537.36",A_CR14__m,1,0,0,25098PN5AC,23.5x113.2x100.0,A,2026092208243555F46CE3A24FC7F19AFC,0,imp,6Ko8xAci6h9J,202609220825.cnTbj3-admtvmipv6-imp33.a.log.1.lz4_4175016,0,1156440114,-1,8,7277635170112326f455cfbffdbb4e5c2b55078300b0adf6cb9dc82f0226ab94,1,6,17,7277635170112326f455cfbffdbb4e5c2b55078300b0adf6cb9dc82f0226ab94,-1,-1,0,5,20260922
2258x0z9UH3C,0da42fa2,true,d047519d7d3e6f85dde28d7535ce3eae0b738f487b7369469d8822ebda3ecc40,bdid,bdid,2512626,134795390,-1,-1,-1,08:25:01,-1,42.197.191.224,42.197.191.224,42.197.191.224,ls,GEO,124,124,"Mozilla/5.0 (Linux; Android 11; PCAM10 Build/RP1A.200720.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36",A_CR83__m,1,0,0,PCAM10,23.1x113.3x100.0,A,20260922082439E5AAA34A12F13389ED16,0,imp,hJo8xAHADK8D,202609220825.cnTbj3-admtvm-imp20.a.log.0.lz4_283052,0,1156440105,-1,8,d047519d7d3e6f85dde28d7535ce3eae0b738f487b7369469d8822ebda3ecc40,1,4,11,d047519d7d3e6f85dde28d7535ce3eae0b738f487b7369469d8822ebda3ecc40,-1,-1,0,5,20260922
0qL9v0MKEtBD,ab1a5e5a,true,faeeeacf10c7572843a87ab31880bee57b99573b3a8e7f53658a5c05fb2868fd,bdid,bdid,2512626,134795390,-1,-1,-1,08:25:02,-1,124.240.109.144,218.97.227.144,124.240.109.144,rawIp,IP_RAW_IP,124,124,"Mozilla/5.0 (Linux; Android 10; LRA-AL00 Build/HONORLRA-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.5735.196 Mobile Safari/537.36",A_CR11__m,1,0,0,LRA-AL00,0.0x0.0x100.0,A,2026092208230861F4728450BD96B5609F,0,imp,iJo8xA31eJCD,202609220825.cnTbj3-admtvm-imp24.a.log.0.lz4_383833,0,1156440100,-1,8,faeeeacf10c7572843a87ab31880bee57b99573b3a8e7f53658a5c05fb2868fd,1,4,10,faeeeacf10c7572843a87ab31880bee57b99573b3a8e7f53658a5c05fb2868fd,-1,-1,0,5,20260922
mfo1x0g0QesI,a3f3d0ed,true,9588d8772cb835e373a23a70db2ff24679f1d533ea10b93358337e2f4b278aca,bdid,bdid,2512626,134795390,-1,-1,-1,08:25:02,-1,2408:8459:410:2c8d:18d7:75ab:a548:69e5,2408:8459:410:2c8d:18d7:75ab:a548:69e5,2408:8459:410:2c8d:18d7:75ab:a548:69e5,ls,GEO,124,124,"Mozilla/5.0 (Linux; Android 16; V2561A Build/BP2A.250605.031.A3_V000L1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.24 Mobile Safari/537.36",A_CR14__m,1,0,0,V2561A,23.1x113.3x100.0,A,202609220824544B72F67CE6E328C0A59B,0,imp,iJo8xA7gCqEJ,202609220825.cnTbj3-admtvmipv6-imp38.a.log.0.lz4_1053172,0,1156440105,-1,8,9588d8772cb835e373a23a70db2ff24679f1d533ea10b93358337e2f4b278aca,1,6,16,9588d8772cb835e373a23a70db2ff24679f1d533ea10b93358337e2f4b278aca,-1,-1,0,5,20260922
